code,code_check,title,value
132962,132962,Производитель:,Achaval Ferrer
132962,132962,Крепость:,14%
129316,129316,rating,4.8
129316,129316,"Страна, регион:","Италия##, Сицилия"
129316,129316,Вино:,красное
129316,129316,Сахар:,сухое
129316,129316,Виноград:,нерелло маскалезе##нерелло капуччо
129316,129316,Производитель:,Donnafugata
129316,129316,Крепость:,13%
131091,131091,rating,4.7
131091,131091,"Страна, регион:","Франция##, Бургундия"
131091,131091,Вино:,красное
131091,131091,Сахар:,сухое
131091,131091,Виноград:,гаме
131091,131091,Производитель:,Joseph Drouhin
131091,131091,Крепость:,13%
131091,131091,Объем:,0.75 л
131091,131091,Регион:,Бургундия
125631,125631,Декантация:,аэрация
125631,125631,Выдержка в емкости:,Бочка
116552,116552,Декантация:,не рекомендуется
116552,116552,Выдержка в емкости:,Нейтральная емкость
132785,132785,Регион:,Андалусия
132785,132785,Потенциал хранения:,15-20 и более лет.
132785,132785,Аппелласьон:,Jerez-Xeres-Sherry DO
132785,132785,Категория:,Denominacion de Origen (DO)
132785,132785,Декантация:,не рекомендуется
132785,132785,Выдержка в емкости:,Бочка
130004,130004,price,3 990 ₽
124184,124184,price,2 990 ₽
131605,131605,price,2 240 ₽
133438,133438,price,2 290 ₽
131598,131598,price,2 240 ₽
125112,125112,price,890 ₽
133241,133241,Объем:,0.75 л
133241,133241,Регион:,Кастилья и Леон
133241,133241,Год:,2020
133241,133241,Потенциал хранения:,8-10 лет.
133241,133241,Аппелласьон:,Ribera del Duero DO
133241,133241,Категория:,Denominacion de Origen (DO)
133241,133241,Декантация:,аэрация
133241,133241,Выдержка в емкости:,Бочка
127740,127740,Потенциал хранения:,7-8 лет.
127740,127740,Аппелласьон:,Toscana IGT
127740,127740,Категория:,Indicazione Geografica Tipica (IGT)
127740,127740,Декантация:,аэрация
127740,127740,Выдержка в емкости:,Бочка
132962,132962,Объем:,0.75 л
132962,132962,Регион:,Мендоса
132962,132962,Год:,2018
